features,label
"ssl_stripping, session_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"domain_spoofing, credential_harvesting, malicious_attachment",Phishing
"blind_sqli_timing, tautology_in_query, encoded_sql_payload",SQL Injection
"service_degradation, syn_flood, udp_flood",Distributed Denial of Service (DDoS)
"arp_spoofing, rogue_dhcp_server, session_hijacking, bgp_hijacking",Man-in-the-Middle (MitM)
"service_degradation, udp_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"mass_file_encryption, ransom_note_created, shadow_copy_deletion",Ransomware
"fake_login_page, urgency_in_email",Phishing
"rogue_dhcp_server, session_hijacking",Man-in-the-Middle (MitM)
"ransom_note_created, shadow_copy_deletion, process_injection, data_exfiltration_before_encryption",Ransomware
"syn_flood, slow_loris_attack, dns_amplification",Distributed Denial of Service (DDoS)
"email_header_anomaly, urgency_in_email, brand_impersonation",Phishing
"malicious_attachment, brand_impersonation",Phishing
"rogue_dhcp_server, packet_interception, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"syn_flood, http_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"service_enumeration, whois_lookup, traceroute_activity",Reconnaissance
"xss_payload_detected, script_tag_in_input, event_handler_injection, html_entity_bypass, csp_bypass_attempt",Cross-Site Scripting (XSS)
"ransom_note_created, backup_deletion, bitcoin_address_in_note",Ransomware
"network_mapping, traceroute_activity, version_detection",Reconnaissance
"certificate_anomaly, dns_spoofing, rogue_dhcp_server, ip_spoofing",Man-in-the-Middle (MitM)
"failed_ssh_attempts, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"script_tag_in_input, reflected_payload, csp_bypass_attempt",Cross-Site Scripting (XSS)
"udp_flood, http_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"high_traffic_volume, syn_flood, udp_flood, icmp_flood",Distributed Denial of Service (DDoS)
"udp_flood, http_flood, dns_amplification",Distributed Denial of Service (DDoS)
"stacked_queries, encoded_sql_payload, time_delay_response",SQL Injection
"banner_grabbing, ping_sweep, traceroute_activity",Reconnaissance
"unusual_file_extension, process_injection, data_exfiltration_before_encryption",Ransomware
"fake_login_page, urgency_in_email, spear_phishing_indicators",Phishing
"script_tag_in_input, stored_xss_payload, javascript_uri_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"backup_deletion, registry_modification, bitcoin_address_in_note",Ransomware
"script_tag_in_input, reflected_payload, malicious_iframe_injection",Cross-Site Scripting (XSS)
"shadow_copy_deletion, c2_communication, lateral_movement",Ransomware
"account_lockout_triggered, failed_ssh_attempts, failed_rdp_attempts",Brute Force Attack
"fake_login_page, lookalike_domain, malicious_attachment, brand_impersonation, whaling_attempt",Phishing
"amplification_traffic, bandwidth_saturation, connection_exhaustion",Distributed Denial of Service (DDoS)
"shadow_copy_deletion, registry_modification, data_exfiltration_before_encryption",Ransomware
"sql_injection_pattern, error_based_response, stacked_queries, time_delay_response",SQL Injection
"unusual_db_query, out_of_band_sqli, db_error_in_response",SQL Injection
"event_handler_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"credential_harvesting, email_header_anomaly, lookalike_domain",Phishing
